supplier,sku_adquify,sku_supplier,name,price,stock_status,category,dimensions,materials,images,description,url,source
,ADQ-CA-E1DCD2F2,,,,,,,,https://casathai.es/2596-home_default/taburete-capi-gris.jpg,,,scraper
,ADQ-CA-C782E2D3,,,,,,,,https://casathai.es/2593-home_default/taburete-capi-blanco.jpg,,,scraper
,ADQ-CA-AF9D3A52,,,,,,,,https://casathai.es/3883-home_default/taburete-megan-gris.jpg,,,scraper
,ADQ-CA-8D9CBB57,,,,,,,,https://casathai.es/3890-home_default/taburete-megan-rosa.jpg,,,scraper
,ADQ-CA-10896DF3,,,,,,,,https://casathai.es/3880-home_default/taburete-megan-blanco.jpg,,,scraper
,ADQ-CA-A29742CF,,,,,,,,https://casathai.es/3887-home_default/taburete-megan-negro.jpg,,,scraper
,ADQ-CA-8A22CB9F,,,,,,,,https://casathai.es/3892-home_default/taburete-megan-agua.jpg,,,scraper
,ADQ-CA-0C75A7E3,,,,,,,,https://casathai.es/3940-home_default/taburete-megan-beige.jpg,,,scraper
,ADQ-CA-C7693B9B,,,,,,,,https://casathai.es/5922-home_default/taburete-airon.jpg,,,scraper
,ADQ-CA-2C5CEE27,,,,,,,,https://casathai.es/5940-home_default/taburete-airon-pata-blanca.jpg,,,scraper
,ADQ-CA-59DF3511,,,,,,,,https://casathai.es/5066-home_default/taburete-abel-natural.jpg,,,scraper
,ADQ-CA-00F5D5E7,,,,,,,,https://casathai.es/5892-home_default/taburete-mika-blanco-madera.jpg,,,scraper
,ADQ-CA-3222B67C,,,,,,,,https://casathai.es/4077-home_default/taburete-megan-blanco-65.jpg,,,scraper
,ADQ-CA-8BB24385,,,,,,,,https://casathai.es/6555-home_default/silla-telma-gris-oscuro-pata-negra.jpg,,,scraper
,ADQ-CA-6335287D,,,,,,,,https://casathai.es/6546-home_default/silla-telma-gris-pata-beige.jpg,,,scraper
,ADQ-CA-0C561FD8,,,,,,,,https://casathai.es/6537-home_default/silla-telma-gris-marengo-pata-negra.jpg,,,scraper
